Title,Country,Year,Operating Temperature (℃),Cathode Pressure (bar),Anode Pressure (bar),Operating Pressure (bar),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,C wt. %,Pure_0/Supported_1,Anode Catalyst Type,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Catalyst Loading,Catahode Catalyst Loading,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),MEA Preparation Method,CCM_0/GDE_1,Membrane Thickness (μm),EW,Type,Current at 1.5 V,Current at 1.6 V,Current at 1.7 V,Current at 1.8 V,Current at 1.9 V,Current at 2.0 V,Minimum Stability Current Density (A cm-2),Maximum Stability Current Density (A cm-2),Fluctuation period (h),Stability Test Time (h-1)
"Investigation of supported IrO2 as electrocatalyst
for the oxygen evolution reaction in proton
exchange membrane water electrolyser",South Africa,2014,80,1,1,1,,1,77.1429,0,14.9804,0,1,90% IrO2-ITO,0.176470588,20,0.176470588,2,0.5 mg/cm2 Pt,1.542858,0.5,CCM,0,125,1100,nafion 115,0.10895,0.43393,0.84884,1.27592,1.67823,2.03319,0,0,0,0
"Iridium-Based Nanowires as Highly Active, Oxygen Evolution
Reaction Electrocatalysts",United States,2018,80,1,1,1,,,90.5,0,0,0,0,Ir-Ni,,100,3.166666667,0.1 Ir,,0.1,,CCM,0,,1100,,0.25419,0.95209,1.66209,2.29952,2.99742,3.69532,0,0,0,0
"Iridium-Based Nanowires as Highly Active, Oxygen Evolution
Reaction Electrocatalysts",United States,2018,80,1,1,1,,,98.3,0,0,0,0,Ir-Ni,,100,3.166666667,0.1 Ir,,0.1,,CCM,0,,1100,,0.08969,0.43199,0.93153,1.37301,1.83989,2.26081,0,0,0,0
"Iridium-Based Nanowires as Highly Active, Oxygen Evolution
Reaction Electrocatalysts",United States,2018,80,1,1,1,,,93.6,0,0,0,0,Ir-Co,,100,3.166666667,0.1 Ir,,0.1,,CCM,0,,1100,,0.16226,0.80695,1.38632,2.031,2.65512,3.27924,0,0,0,0
"Iridium-Based Nanowires as Highly Active, Oxygen Evolution
Reaction Electrocatalysts",United States,2018,80,1,1,1,,,94.5,0,0,0,0,Ir-Co,,100,3.166666667,0.1 Ir,,0.1,,CCM,0,,1100,,0.08364,0.46465,0.9908,1.43228,1.91247,2.35274,0,0,0,0
"Iridium-Based Nanowires as Highly Active, Oxygen Evolution
Reaction Electrocatalysts",United States,2018,80,1,1,1,,,100,0,0,0,0,Ir,,100,3.166666667,0.1 Ir,,0.1,,CCM,0,,1100,,0.03042,0.37272,0.78034,1.20126,1.60887,1.99713,0,0,0,0
"Iridium-Based Nanowires as Highly Active, Oxygen Evolution
Reaction Electrocatalysts",United States,2018,80,1,1,1,,,85.52915767,0,14.47084233,0,0,IrO2,,100,3.166666667,0.1 Ir,,0.1,,CCM,0,,1100,,0.03768,0.38603,0.76703,1.16255,1.53025,1.81328,0,0,0,0
"Nanosphere-structured composites consisting of
Cs-substituted phosphotungstates and antimony
doped tin oxides as catalyst supports for proton
exchange membrane liquid water electrolysis",China,2014,80,1,1,1,3,1,85.52915767,0,14.47084233,0,0,IrO2,0.33,40,0.33,0.75,0.2 mg/cm2 Pt,0.641468683,0.2,CCM,0,50,1100,nafion 212,0.07734,0.78899,1.85539,2.92179,3.98819,5.05459,0,0,0,0
"Nanosphere-structured composites consisting of
Cs-substituted phosphotungstates and antimony
doped tin oxides as catalyst supports for proton
exchange membrane liquid water electrolysis",China,2014,80,1,1,1,3,1,42.76457883,0,17.851,0,1,"IrO2/
Sb-SnO2",0.33,40,0.33,0.75,0.2 mg/cm2 Pt,0.320734341,0.2,CCM,0,50,1100,nafion 212,0.0998,1.05354,2.00728,2.96102,3.91476,4.8685,0,0,0,0
"Nanosphere-structured composites consisting of
Cs-substituted phosphotungstates and antimony
doped tin oxides as catalyst supports for proton
exchange membrane liquid water electrolysis",China,2014,80,1,1,1,3,1,42.76457883,0,17.851,0,1,IrO2/Cs1.5HPAe(Sb-SnO2),0.33,40,0.33,0.75,0.2 mg/cm2 Pt,0.320734341,0.2,CCM,0,50,1100,nafion 212,0.15542,1.31167,2.46792,3.62417,4.78042,5.93667,0,0,0,0
"Nanosphere-structured composites consisting of
Cs-substituted phosphotungstates and antimony
doped tin oxides as catalyst supports for proton
exchange membrane liquid water electrolysis",China,2014,35,1,1,1,3,1,42.76457883,0,17.851,0,1,IrO2/Cs1.5HPAe(Sb-SnO2),0.33,40,0.33,0.75,0.2 mg/cm2 Pt,0.320734341,0.2,CCM,0,50,1100,nafion 212,0.01156,0.05396,0.11917,0.20972,0.30838,0.40704,0.3,0.3,0,100
"Nanosphere-structured composites consisting of
Cs-substituted phosphotungstates and antimony
doped tin oxides as catalyst supports for proton
exchange membrane liquid water electrolysis",China,2014,35,1,1,1,3,1,42.76457883,0,17.851,0,1,IrO2/Cs1.5HPAe(Sb-SnO2),0.33,40,0.33,0.75,0.2 mg/cm2 Pt,0.320734341,0.2,CCM,0,50,1100,nafion 212,0.00533,0.02542,0.06963,0.13877,0.21332,0.27221,0.3,0.3,0,476
"Novel thin/tunable gas diffusion electrodes with ultra-low catalyst loading
for hydrogen evolution reactions in proton exchange membrane electrolyzer
cells",USA,2018,80,1,1,1,20,5,74.37742114,16.76812396,8.854454898,0,0,IrRuOx,0,100,0,3,0.032 mg/cm2 Pt,2.734366353,0.032,GDE,1,125,1100,nafion 115,0.01577,0.43493,1.05184,1.5588,2.0043,2.4498,0,0,0,0
"Novel thin/tunable gas diffusion electrodes with ultra-low catalyst loading
for hydrogen evolution reactions in proton exchange membrane electrolyzer
cells",USA,2018,80,1,1,1,20,5,74.37742114,16.76812396,8.854454898,0,0,IrRuOx,0,100,0,3,0.051 mg/cm2 Pt,2.734366353,0.051,GDE,1,125,1100,nafion 115,0.05318,0.52502,1.14842,1.72142,2.29442,2.86742,0,0,0,0
"Novel thin/tunable gas diffusion electrodes with ultra-low catalyst loading
for hydrogen evolution reactions in proton exchange membrane electrolyzer
cells",USA,2018,80,1,1,1,20,5,74.37742114,16.76812396,8.854454898,0,0,IrRuOx,0,100,0,3,0.086 mg/cm2 Pt,2.734366353,0.086,GDE,1,125,1100,nafion 115,0.18257,0.84865,1.89465,2.94065,3.98665,5.03265,0,0,0,0
"Novel thin/tunable gas diffusion electrodes with ultra-low catalyst loading
for hydrogen evolution reactions in proton exchange membrane electrolyzer
cells",USA,2018,80,1,1,1,20,5,74.37742114,16.76812396,8.854454898,0,0,IrRuOx,0,100,0,3,0.193 mg/cm2 Pt,2.734366353,0.193,GDE,1,125,1100,nafion 115,0.03333,0.47883,1.12857,1.66874,2.20891,2.74908,0,0,0,0
"Physical and electrochemical evaluation of ATO supported IrO2
catalyst for proton exchange membrane water electrolyser",United Kingdom,2014,80,1,1,1,,1,34.2857,0,18.454,0,1,40% IrO2-ATO,0.176470588,20,0.176470588,2,0.5 mg/cm2 Pt,0.685714,0.5,CCM,0,125,1100,nafion 115,0.01766,0.07179,0.1941,0.46132,0.76518,1.09803,0,0,0,0
"Physical and electrochemical evaluation of ATO supported IrO2
catalyst for proton exchange membrane water electrolyser",United Kingdom,2014,80,1,1,1,,1,77.1429,0,14.9804,0,1,90% IrO2-ATO,0.176470588,20,0.176470588,2,0.5 mg/cm2 Pt,1.542858,0.5,CCM,0,125,1100,nafion 115,0.11568,0.45365,0.88494,1.31155,1.81359,2.22529,0,0,0,0
"Preparation and characterization of titanium suboxides as
conductive supports of IrO2electrocatalysts for
application in SPE electrolysers",Italy,2009,60,1,1,1,4,,40,0,,0,1,IrO2/TinO2n?1(in-house),0.5,30,0.5,1,1 mg/cm2 Pt,0.4,1,CCM,0,125,1100,nafion 115,0.01036,0.06535,0.17403,0.3564,0.56268,0.72766,0,0,0,0
"Preparation and characterization of titanium suboxides as
conductive supports of IrO2electrocatalysts for
application in SPE electrolysers",Italy,2009,70,1,1,1,4,,40,0,,0,1,IrO2/TinO2n?1(in-house),0.5,30,0.5,1,1 mg/cm2 Pt,0.4,1,CCM,0,125,1100,nafion 115,0.01905,0.09404,0.26402,0.49638,0.75526,0.93263,0,0,0,0
"Preparation and characterization of titanium suboxides as
conductive supports of IrO2electrocatalysts for
application in SPE electrolysers",Italy,2009,80,1,1,1,4,,40,0,,0,1,IrO2/TinO2n?1(in-house),0.5,30,0.5,1,1 mg/cm2 Pt,0.4,1,CCM,0,125,1100,nafion 115,0.04644,0.16403,0.42031,0.71527,0.96893,1.1626,0,0,0,0
"Preparation and characterization of titanium suboxides as
conductive supports of IrO2electrocatalysts for
application in SPE electrolysers",Italy,2009,60,1,1,1,4,,25.6587473,0,32.341,0,1,IrO2/Ebonex,0.5,30,0.5,1,1 mg/cm2 Pt,0.256587473,1,CCM,0,125,1100,nafion 115,0.00757,0.04215,0.10885,0.21533,0.32181,0.42829,0,0,0,0
"Preparation and characterization of titanium suboxides as
conductive supports of IrO2electrocatalysts for
application in SPE electrolysers",Italy,2009,70,1,1,1,4,,25.6587473,0,32.341,0,1,IrO2/Ebonex,0.5,30,0.5,1,1 mg/cm2 Pt,0.256587473,1,CCM,0,125,1100,nafion 115,0.00884,0.04646,0.12001,0.22857,0.33713,0.44569,0,0,0,0
"Preparation and characterization of titanium suboxides as
conductive supports of IrO2electrocatalysts for
application in SPE electrolysers",Italy,2009,80,1,1,1,4,,25.6587473,0,32.341,0,1,IrO2/Ebonex,0.5,30,0.5,1,1 mg/cm2 Pt,0.256587473,1,CCM,0,125,1100,nafion 115,0.01442,0.07041,0.16871,0.30806,0.44741,0.58676,0,0,0,0
Pure hydrogen production by PEM electrolysis for hydrogen energy,Russia,2006,90,30,30,30,,,100,0,0,0,0,Ir black,,30,,2.4 mg/cm2 Ir,0.6 mg/cm2 Pt,2.4,0.6,CCM,0,,1100,,0.001,0.36857,0.77766,1.27996,1.79949,2.31902,0,0,0,0
Pure hydrogen production by PEM electrolysis for hydrogen energy,Russia,2006,90,30,30,30,,,22.69920545,27.36933045,20.0014641,0,1,RuO2(30%)-IrO2(32%)-SnO2(38%),,30,,2,0.6 mg/cm2 Pt,1.001370718,0.6,CCM,0,,1100,,0.16807,0.53354,0.98132,1.49241,2.0035,2.51459,0,0,0,0
Pure hydrogen production by PEM electrolysis for hydrogen energy,Russia,2006,90,30,30,30,,,100,0,0,0,0,Ir black,,0,,2.4 mg/cm2 Ir,2.4,2.4,0,CCM,0,,1100,,0.32988,0.72841,1.16915,1.61341,2.05767,2.50193,0,0,0,0
Pure hydrogen production by PEM electrolysis for hydrogen energy,Russia,2006,90,30,30,30,,,80.595,0,19.4,0,0,RuO2(50%)-IrO2(50%),,30,,2,0.6 mg/cm2 Pt,1.6119,0.6,CCM,0,,1100,,0.2437,0.65103,1.1375,1.67497,2.21244,2.74991,0,0,0,0
Pure hydrogen production by PEM electrolysis for hydrogen energy,Russia,2006,30,1,1,1,,,80.595,0,19.4,0,0,RuO2(50%)-IrO2(50%),,30,,2,0.6 mg/cm2 Pt,1.6119,0.6,CCM,0,,1100,,0.07396,0.21926,0.39301,0.53131,0.70506,0.88362,0,0,0,0
Pure hydrogen production by PEM electrolysis for hydrogen energy,Russia,2006,30,25,25,25,,,80.595,0,19.4,0,0,RuO2(50%)-IrO2(50%),,30,,2,0.6 mg/cm2 Pt,1.6119,0.6,CCM,0,,1100,,0.03107,0.1383,0.35713,0.54794,0.75276,0.97159,0,0,0,0
Pure hydrogen production by PEM electrolysis for hydrogen energy,Russia,2006,90,1,1,1,,,80.595,0,19.4,0,0,RuO2(50%)-IrO2(50%),,30,,2,0.6 mg/cm2 Pt,1.6119,0.6,CCM,0,,1100,,0.40264,0.72388,1.05518,1.4145,1.75499,2.03115,0,0,0,0
Pure hydrogen production by PEM electrolysis for hydrogen energy,Russia,2006,90,25,25,25,,,80.595,0,19.4,0,0,RuO2(50%)-IrO2(50%),,30,,2,0.6 mg/cm2 Pt,1.6119,0.6,CCM,0,,1100,,0.2359,0.70025,1.11689,1.52172,1.93618,2.33138,0,0,0,0
"Boron-Doped Carbon nanoparticles supported palladium as an
efficient hydrogen evolution electrode in PEM water electrolysis",India,2019,80,1,1,1,60,25,0,75.66401816,24.33598184,0,0,Pure Oxide,,0,,3,0.7 mg cm-2 Pd/B3-CNPs,2.269920545,0.7,CCM,0,125,1100,Nafion 115,0.013708,0.08709,0.18239,0.36896,0.60701,0.89689,0,0,0,0
"Boron-Doped Carbon nanoparticles supported palladium as an
efficient hydrogen evolution electrode in PEM water electrolysis",India,2019,70,1,1,1,60,25,0,75.66401816,24.33598184,0,0,Pure Oxide,,0,,3,0.7 mg cm-2 Pd/B3-CNPs,2.269920545,0.7,CCM,0,125,1100,Nafion 115,0.008,0.06549,0.15642,0.31407,0.53207,0.80845,0,0,0,0
"Boron-Doped Carbon nanoparticles supported palladium as an
efficient hydrogen evolution electrode in PEM water electrolysis",India,2019,60,1,1,1,60,25,0,75.66401816,24.33598184,0,0,Pure Oxide,,0,,3,0.7 mg cm-2 Pd/B3-CNPs,2.269920545,0.7,CCM,0,125,1100,Nafion 115,0.0074,0.0504,0.13696,0.27515,0.45424,0.74571,0,0,0,0
"Boron-Doped Carbon nanoparticles supported palladium as an
efficient hydrogen evolution electrode in PEM water electrolysis",India,2019,50,1,1,1,60,25,0,75.66401816,24.33598184,0,0,Pure Oxide,,0,,3,0.7 mg cm-2 Pd/B3-CNPs,2.269920545,0.7,CCM,0,125,1100,Nafion 115,0.0065,0.03769,0.1175,0.2406,0.42406,0.65716,0,0,0,0
"Boron-Doped Carbon nanoparticles supported palladium as an
efficient hydrogen evolution electrode in PEM water electrolysis",India,2019,40,1,1,1,60,25,0,75.66401816,24.33598184,0,0,Pure Oxide,,0,,3,0.7 mg cm-2 Pd/B3-CNPs,2.269920545,0.7,CCM,0,125,1100,Nafion 115,0.0059,0.0212,0.10242,0.19534,0.3637,0.59918,0,0,0,0
"Boron-Doped Carbon nanoparticles supported palladium as an
efficient hydrogen evolution electrode in PEM water electrolysis",India,2019,30,1,1,1,60,25,0,75.66401816,24.33598184,0,0,Pure Oxide,,0,,3,0.7 mg cm-2 Pd/B3-CNPs,2.269920545,0.7,CCM,0,125,1100,Nafion 115,0.0051,0.01148,0.08733,0.1735,0.31168,0.51698,0,0,0,0
"Boron-Doped Carbon nanoparticles supported palladium as an
efficient hydrogen evolution electrode in PEM water electrolysis",India,2019,80,1,1,1,60,25,0,75.66401816,24.33598184,0,0,Pure Oxide,,30,,3,0.7 mg cm-2 Pt C 30 wt%,2.269920545,0.21,CCM,0,125,1100,Nafion 115,0.01833,0.10518,0.25123,0.43583,0.68354,0.96123,0,0,0,0
"Durability of a recombination catalyst-based membrane-electrode assembly 
for electrolysis operation at high current density",Italy,2020,80,1,1,1,4,5,44.62645268,10.06087438,5.312672939,0,0,recombination catalyst (RC),0.176470588,40,0.388888889,0.2 mg cm?2 PtCo and 0.3 mg cm?2 (Ir + Ru),0.1 mg cm-2 Pt,0.4,0.1,CCM,0,50,980,Aquivion? membrane (E98-05S),0.21072,0.81621,1.85364,2.97719,4.23721,5.5118,0,0,0,0
"Durability of a recombination catalyst-based membrane-electrode assembly 
for electrolysis operation at high current density",Italy,2020,80,1,1,1,4,5,74.37742114,16.76812396,8.854454898,0,0,Pure Oxide,0.176470588,40,0.388888889,"0.3 mg  Ir + Ru cm?2
",0.1 mg cm-2 Pt,0.4,0.1,CCM,0,50,980,Aquivion? membrane (E98-05S),0.4704,1.30512,2.41542,3.60389,4.79898,6.03118,0,0,0,0
"Durability of a recombination catalyst-based membrane-electrode assembly 
for electrolysis operation at high current density",Italy,2020,80,1,1,1,4,5,44.62645268,10.06087438,5.312672939,0,0,recombination catalyst (RC),0.176470588,40,0.388888889,0.2 mg cm?2 PtCo and 0.3 mg cm?2 (Ir + Ru),0.1 mg cm-2 Pt,0.4,0.1,CCM,0,50,980,Aquivion? membrane (E98-05S),0.21314,0.95449,2.02041,3.51608,5.06239,6.83331,4,4,0,3500
"Durability of a recombination catalyst-based membrane-electrode assembly 
for electrolysis operation at high current density",Italy,2020,80,1,1,1,4,5,74.37742114,16.76812396,8.854454898,0,0,Pure Oxide,0.176470588,40,0.388888889,"0.3 mg  Ir + Ru cm?2
",0.1 mg cm-2 Pt,0.4,0.1,CCM,0,50,980,Aquivion? membrane (E98-05S),0.14303,0.89736,1.949,3.30446,4.65991,6.19193,4,4,0,3500
"Durability of a recombination catalyst-based membrane-electrode assembly 
for electrolysis operation at high current density",Italy,2020,30,1,1,1,4,5,44.62645268,10.06087438,5.312672939,0,0,recombination catalyst (RC),0.176470588,40,0.388888889,0.2 mg cm?2 PtCo and 0.3 mg cm?2 (Ir + Ru),0.1 mg cm-2 Pt,0.4,0.1,CCM,0,50,980,Aquivion? membrane (E98-05S),0.029,0.14432,0.69579,1.29707,2.04959,2.94044,0,0,0,0
"Durability of a recombination catalyst-based membrane-electrode assembly 
for electrolysis operation at high current density",Italy,2020,40,1,1,1,4,5,44.62645268,10.06087438,5.312672939,0,0,recombination catalyst (RC),0.176470588,40,0.388888889,0.2 mg cm?2 PtCo and 0.3 mg cm?2 (Ir + Ru),0.1 mg cm-2 Pt,0.4,0.1,CCM,0,50,980,Aquivion? membrane (E98-05S),0.034,0.2642,0.85626,1.618,2.51069,3.47348,0,0,0,0
"Durability of a recombination catalyst-based membrane-electrode assembly 
for electrolysis operation at high current density",Italy,2020,55,1,1,1,4,5,44.62645268,10.06087438,5.312672939,0,0,recombination catalyst (RC),0.176470588,40,0.388888889,0.2 mg cm?2 PtCo and 0.3 mg cm?2 (Ir + Ru),0.1 mg cm-2 Pt,0.4,0.1,CCM,0,50,980,Aquivion? membrane (E98-05S),0.043,0.3638,1.16612,2.05881,3.06217,4.34404,0,0,0,0
"Durability of a recombination catalyst-based membrane-electrode assembly 
for electrolysis operation at high current density",Italy,2020,60,1,1,1,4,5,44.62645268,10.06087438,5.312672939,0,0,recombination catalyst (RC),0.176470588,40,0.388888889,0.2 mg cm?2 PtCo and 0.3 mg cm?2 (Ir + Ru),0.1 mg cm-2 Pt,0.4,0.1,CCM,0,50,980,Aquivion? membrane (E98-05S),0.02258,0.44495,1.32658,2.29859,3.44212,4.62623,0,0,0,0
"Durability of a recombination catalyst-based membrane-electrode assembly 
for electrolysis operation at high current density",Italy,2020,70,1,1,1,4,5,44.62645268,10.06087438,5.312672939,0,0,recombination catalyst (RC),0.176470588,40,0.388888889,0.2 mg cm?2 PtCo and 0.3 mg cm?2 (Ir + Ru),0.1 mg cm-2 Pt,0.4,0.1,CCM,0,50,980,Aquivion? membrane (E98-05S),0.13325,0.57406,1.58664,2.6896,3.87371,5.22751,0,0,0,0
"Durability of a recombination catalyst-based membrane-electrode assembly 
for electrolysis operation at high current density",Italy,2020,90,1,1,1,4,5,44.62645268,10.06087438,5.312672939,0,0,recombination catalyst (RC),0.176470588,40,0.388888889,0.2 mg cm?2 PtCo and 0.3 mg cm?2 (Ir + Ru),0.1 mg cm-2 Pt,0.4,0.1,CCM,0,50,980,Aquivion? membrane (E98-05S),0.27342,1.01672,2.14919,3.23186,4.64652,6.03905,0,0,0,0
"Fabrication of a Robust PEM Water Electrolyzer Based on 
Non-Noble Metal Cathode Catalyst: [Mo3S13]2? Clusters 
Anchored to N-Doped Carbon Nanotubes",Germany,2020,80,1,1,1,40,1,85.52915767,0,14.47084233,0,0,Pure Oxide,0.25,0,2,1.5 mg cm-2 Ir,3 mg cm?2 of Mo3S13-NCNT,1.5,0,CCM,0,125,1100,Nafion 115,0.00156,0.02132,0.02545,0.09567,0.29757,0.59894,0,0,0,0
"Fabrication of a Robust PEM Water Electrolyzer Based on 
Non-Noble Metal Cathode Catalyst: [Mo3S13]2? Clusters 
Anchored to N-Doped Carbon Nanotubes",Germany,2021,80,1,1,1,40,1,85.52915767,0,14.47084233,0,0,Pure Oxide,0.25,0,2,1.5 mg cm-2 Ir,3 mg cm?2 of Mo3S13-NCNT,1.5,0,CCM,0,50,1100,Nafion 212,0.02213,0.04403,0.14066,0.41066,0.89607,1.48696,0,0,0,0
"Fabrication of a Robust PEM Water Electrolyzer Based on 
Non-Noble Metal Cathode Catalyst: [Mo3S13]2? Clusters 
Anchored to N-Doped Carbon Nanotubes",Germany,2021,80,1,1,1,40,1,85.52915767,0,14.47084233,0,0,Pure Oxide,0.25,60,2,1.5 mg cm-2 Ir,0.5 mg cm-2 Pt,1.5,0.5,CCM,0,125,1100,Nafion 115,0.04403,0.30443,0.78615,1.37114,2.04614,2.79195,0,0,0,0
"Fabrication of a Robust PEM Water Electrolyzer Based on 
Non-Noble Metal Cathode Catalyst: [Mo3S13]2? Clusters 
Anchored to N-Doped Carbon Nanotubes",Germany,2021,80,1,1,1,40,1,85.52915767,0,14.47084233,0,0,Pure Oxide,0.25,60,2,1.5 mg cm-2 Ir,0.5 mg cm-2 Pt,1.5,0.5,CCM,0,50,1100,Nafion 212,0.1473,0.60025,1.30991,2.19737,3.11285,4.03866,0,0,0,0
Impact of porous transport layer compression on hydrogen permeation in PEM water electrolysis,Germany,2019,80,1,1,1,40,16,85.52915767,0,14.47084233,0,0,Pure Oxide,3,7,0.33,0.9 mg cm-2 Ir,0.25 mg cm-2 Pt,0.9,0.25,CCM,0,50,1100,Nafion 212,0.24183,0.78002,1.79001,2.91268,4.63004,6.3474,0,0,0,0
Improving PEM water electrolyser’s performance by magnetic field application,Turkey,2020,25,1,1,1,100,5,85.52915767,0,14.47084233,0,0,Pure Oxide,,40,,3,0.4 mg cm-2 Pt,2.56587473,0.4,CCM,0,125,1100,Nafion 115,0.00375,0.00471,0.00594,0.00736,0.0088,0.01055,0,0,0,0
Improving PEM water electrolyser’s performance by magnetic field application,Turkey,2020,25,1,1,1,200,5,85.52915767,0,14.47084233,0,0,Pure Oxide,,40,,3,0.4 mg cm-2 Pt,2.56587473,0.4,CCM,0,125,1100,Nafion 115,0.00437,0.00536,0.00637,0.00746,0.00864,0.00975,0,0,0,0
Improving PEM water electrolyser’s performance by magnetic field application,Turkey,2020,25,1,1,1,300,5,85.52915767,0,14.47084233,0,0,Pure Oxide,,40,,3,0.4 mg cm-2 Pt,2.56587473,0.4,CCM,0,125,1100,Nafion 115,0.00378,0.00475,0.00561,0.00672,0.00747,0.00844,0,0,0,0
Influence of Ionomer Content in IrO2/TiO2Electrodes on PEM Water Electrolyzer Performance,Germany,2016,80,1,1,1,5,5,75,0,,0,1,IrO2/TiO2with 75 wt% iridium,0.040582726,46.7,0.6,2 mg cm-2 Ir,0.35 mg cm-2 Pt,2,0.35,CCM,0,50,1100,Nafion 212,0.3001,1.29598,2.50117,4.01019,5.50795,7.00571,0,0,0,0
Influence of Ionomer Content in IrO2/TiO2Electrodes on PEM Water Electrolyzer Performance,Germany,2016,80,1,1,1,5,5,75,0,,0,1,IrO2/TiO2with 75 wt% iridium,0.131221719,46.7,0.6,2 mg cm-2 Ir,0.35 mg cm-2 Pt,2,0.35,CCM,0,50,1100,Nafion 212,0.31135,1.48953,2.7161,4.19811,5.68462,7.17113,0,0,0,0
Influence of Ionomer Content in IrO2/TiO2Electrodes on PEM Water Electrolyzer Performance,Germany,2016,80,1,1,1,5,5,75,0,,0,1,IrO2/TiO2with 75 wt% iridium,0.388888889,46.7,0.6,2 mg cm-2 Ir,0.35 mg cm-2 Pt,2,0.35,CCM,0,50,1100,Nafion 212,0.19545,0.99665,2.00267,3.13133,4.4468,5.7015,0,0,0,0
Influence of Ionomer Content in IrO2/TiO2Electrodes on PEM Water Electrolyzer Performance,Germany,2016,80,3,1,1,5,5,75,0,,0,1,IrO2/TiO2with 75 wt% iridium,0.131221719,46.7,0.6,2 mg cm-2 Ir,0.35 mg cm-2 Pt,2,0.35,CCM,0,50,1100,Nafion 212,0.15397,0.95131,2.08541,3.21951,4.35361,5.48771,0,0,0,0
Influence of Ionomer Content in IrO2/TiO2Electrodes on PEM Water Electrolyzer Performance,Germany,2016,80,10,1,1,5,5,75,0,,0,1,IrO2/TiO2with 75 wt% iridium,0.131221719,46.7,0.6,2 mg cm-2 Ir,0.35 mg cm-2 Pt,2,0.35,CCM,0,50,1100,Nafion 212,0.09313,0.76505,1.91569,3.06633,4.21697,5.36761,0,0,0,0
Influence of Ionomer Content in IrO2/TiO2Electrodes on PEM Water Electrolyzer Performance,Germany,2016,80,30,1,1,5,5,75,0,,0,1,IrO2/TiO2with 75 wt% iridium,0.131221719,46.7,0.6,2 mg cm-2 Ir,0.35 mg cm-2 Pt,2,0.35,CCM,0,50,1100,Nafion 212,0.04189,0.57239,1.68567,3.02684,4.36801,5.70918,0,0,0,0
"Modelling and Experimental Analysis of a Polymer
Electrolyte Membrane Water Electrolysis Cell at
Different Operating T emperatures",Italy,2018,60,1,1,1,40,2.89,85.52915767,0,14.47084233,0,0,Pure Oxide,,40,,0.27 mg cm-2 Ir,0.5 mg cm-2 Pt,0.27,0.5,CCM,0,175,1100,Nafion 117,0.08962,0.38726,0.73409,1.09097,1.48771,1.89234,0,0,0,0
"Modelling and Experimental Analysis of a Polymer
Electrolyte Membrane Water Electrolysis Cell at
Different Operating T emperatures",Italy,2018,80,1,1,1,40,2.89,85.52915767,0,14.47084233,0,0,Pure Oxide,,40,,0.27 mg cm-2 Ir,0.5 mg cm-2 Pt,0.27,0.5,CCM,0,175,1100,Nafion 117,0.21337,0.60251,1.03074,1.46496,1.90481,2.34466,0,0,0,0
New insights into the stability of a high performance nanostructured catalyst for sustainable water electrolysis,Germany,2019,80,1,1,1,4,5,74.37742114,16.76812396,8.854454898,0,0,Pure Oxide,,30,,0.34 mg Ir + Ru    cm?2,0.1 mg cm-2 Pt,0.34,0.1,CCM,0,90,1000,short-side chain perfluorosulfonic acid Aquivion?membrane,0.254,0.80528,1.58295,2.54937,3.59262,4.63587,0,0,0,0
New insights into the stability of a high performance nanostructured catalyst for sustainable water electrolysis,Germany,2019,80,1,1,1,4,5,74.37742114,16.76812396,8.854454898,0,0,Pure Oxide,,30,,0.34 mg Ir + Ru    cm?2,0.1 mg cm-2 Pt,0.34,0.1,CCM,0,90,1000,short-side chain perfluorosulfonic acid Aquivion?membrane,0.20195,0.83911,1.60148,2.49314,3.34035,4.18756,3,3,0,1000
New insights into the stability of a high performance nanostructured catalyst for sustainable water electrolysis,Germany,2019,80,1,1,1,4,5,74.37742114,16.76812396,8.854454898,0,0,Pure Oxide,,30,,1.27 mg Ir + Ru    cm?2,0.1 mg cm-2 Pt,1.27,0.1,CCM,0,90,1000,short-side chain perfluorosulfonic acid Aquivion?membrane,0.25436,0.81114,1.6078,2.50164,3.39548,4.28932,0,0,0,0
New insights into the stability of a high performance nanostructured catalyst for sustainable water electrolysis,Germany,2019,80,1,1,1,4,5,74.37742114,16.76812396,8.854454898,0,0,Pure Oxide,,30,,1.27 mg Ir + Ru    cm?2,0.1 mg cm-2 Pt,1.27,0.1,CCM,0,90,1000,short-side chain perfluorosulfonic acid Aquivion?membrane,0.14686,0.60411,1.39561,2.39695,3.39829,4.39963,3,3,0,1000
New insights into the stability of a high performance nanostructured catalyst for sustainable water electrolysis,Germany,2019,80,1,1,1,4,5,74.37742114,16.76812396,8.854454898,0,0,Pure Oxide,,30,,0.34 mg Ir + Ru    cm?2,0.1 mg cm-2 Pt,0.34,0.1,CCM,0,90,1000,short-side chain perfluorosulfonic acid Aquivion?membrane,0.20325,0.80746,1.61354,2.46103,3.30852,4.15601,0,0,0,0
